type,name,model,run,dataset,mean_gap_pct,eval_file,eval_profile,run_twoopt,decode_multistart,decode_noise_std,decode_twoopt_passes,seed
model,exp_edge_tf_h128_d3_ccv1,edge_transformer,20260211-210533,tsplib,9.491544365154125,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_tf_h128_d3_relv2_ms_ccv1,edge_transformer,20260212-183537,tsplib,10.131209796217627,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_tf_h256_d5_relv2_ms_ccv1,edge_transformer,20260212-193311,tsplib,11.120578342483274,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_mlp_h256_d3_ccv1,edge_mlp_deep,20260210-195752,tsplib,11.368189682535712,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_tf_h256_d4_ccv1,edge_transformer,20260211-212905,tsplib,11.41968709261188,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_mlp_h128_d2,edge_mlp,20260210-175745,tsplib,11.602265360697384,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_tf_h256_d5_relsc_ccv1,edge_transformer,20260211-223953,tsplib,11.679696497069989,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_tf_h320_d3_relsc_ccv1,edge_transformer,20260211-232057,tsplib,11.999254989580166,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_mlp_h256_d3,edge_mlp_deep,20260210-175524,tsplib,12.089906135652553,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_tf_h192_d4_relsc_ccv1,edge_transformer,20260211-215800,tsplib,12.127576445683157,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_tf_h256_d4_relv2_ms_ccv1,edge_transformer,20260212-190122,tsplib,12.262281460037395,eval_tsplib_baseline.json,baseline,,,,,
baseline,dist_greedy2opt,,,tsplib,12.294271156036842,runs\baselines\fair_baseline\dist_greedy2opt\eval_tsplib.json,baseline,True,1,0.0,20,0
model,exp_edge_mlp_h256_d2_ccv1,edge_mlp,20260210-191744,tsplib,12.328360965010045,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_mlp_h128_d2_ccv1,edge_mlp,20260210-185558,tsplib,12.33923149366525,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_res_h128_d4,edge_res_mlp,20260210-180915,tsplib,12.379810937661734,eval_tsplib_baseline.json,baseline,,,,,
baseline,nn2opt,,,tsplib,12.941164771697698,runs\baselines\fair_baseline\nn2opt\eval_tsplib.json,baseline,True,1,0.0,20,0
model,exp_edge_mlp_h256_d2,edge_mlp,20260210-171914,tsplib,13.120013297661606,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_res_h128_d4_ccv1,edge_res_mlp,20260210-191322,tsplib,13.248017221741263,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_res_h256_d4,edge_res_mlp,20260210-183210,tsplib,13.370566208434946,eval_tsplib_baseline.json,baseline,,,,,
model,exp_edge_res_h256_d4_ccv1,edge_res_mlp,20260210-203342,tsplib,13.605487173529559,eval_tsplib_baseline.json,baseline,,,,,
