type,name,model,run,dataset,mean_gap_pct,eval_file,eval_profile,run_twoopt,decode_multistart,decode_noise_std,decode_twoopt_passes,seed
model,exp_edge_tf_h128_d3_ccv1,edge_transformer,20260211-210533,tsplib,7.59164999250548,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_tf_h128_d3_relv2_ms_ccv1,edge_transformer,20260212-183537,tsplib,8.357689312700483,eval_tsplib_optimized.json,optimized,,,,,
baseline,dist_greedy2opt,,,tsplib,8.516171483344392,runs\baselines\fair_optimized\dist_greedy2opt\eval_tsplib.json,optimized,True,8,0.02,40,0
model,exp_edge_mlp_h256_d3_ccv1,edge_mlp_deep,20260210-195752,tsplib,8.557400898358305,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_tf_h256_d4_ccv1,edge_transformer,20260211-212905,tsplib,8.794524194668986,eval_tsplib_optimized.json,optimized,,,,,
baseline,nn2opt,,,tsplib,8.924173632114591,runs\baselines\fair_optimized\nn2opt\eval_tsplib.json,optimized,True,8,0.02,40,0
model,exp_edge_res_h128_d4,edge_res_mlp,20260210-180915,tsplib,8.9701730891842,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_tf_h256_d5_relv2_ms_ccv1,edge_transformer,20260212-193311,tsplib,9.001778871284529,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_mlp_h128_d2_ccv1,edge_mlp,20260210-185558,tsplib,9.12287341520661,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_tf_h192_d4_relsc_ccv1,edge_transformer,20260211-215800,tsplib,9.149663002588511,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_tf_h320_d3_relsc_ccv1,edge_transformer,20260211-232057,tsplib,9.252528272959053,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_res_h256_d4,edge_res_mlp,20260210-183210,tsplib,9.36383089769767,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_mlp_h128_d2,edge_mlp,20260210-175745,tsplib,9.492948625604924,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_tf_h256_d5_relsc_ccv1,edge_transformer,20260211-223953,tsplib,9.593674429801462,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_mlp_h256_d2_ccv1,edge_mlp,20260210-191744,tsplib,9.647287208318078,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_mlp_h256_d3,edge_mlp_deep,20260210-175524,tsplib,9.794050726694374,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_res_h256_d4_ccv1,edge_res_mlp,20260210-203342,tsplib,9.808621025301104,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_mlp_h256_d2,edge_mlp,20260210-171914,tsplib,10.094564277413562,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_tf_h256_d4_relv2_ms_ccv1,edge_transformer,20260212-190122,tsplib,10.28028545959879,eval_tsplib_optimized.json,optimized,,,,,
model,exp_edge_res_h128_d4_ccv1,edge_res_mlp,20260210-191322,tsplib,10.735186631788128,eval_tsplib_optimized.json,optimized,,,,,
