exp,run,model,instances_compared,mean_rank,wins,primary_mean_gap_pct
exp_edge_tf_h128_d3_ccv1,20260211-210533,edge_transformer,14,7.642857142857143,4,7.59164999250548
exp_edge_tf_h256_d4_ccv1,20260211-212905,edge_transformer,14,7.892857142857143,3,8.794524194668986
exp_edge_tf_h192_d4_relsc_ccv1,20260211-215800,edge_transformer,14,8.25,0,9.149663002588511
exp_edge_mlp_h256_d3_ccv1,20260210-195752,edge_mlp_deep,14,8.821428571428571,0,8.557400898358305
exp_edge_mlp_h128_d2_ccv1,20260210-185558,edge_mlp,14,8.892857142857142,0,9.12287341520661
exp_edge_res_h256_d4,20260210-183210,edge_res_mlp,14,8.964285714285714,2,9.36383089769767
exp_edge_tf_h128_d3_relv2_ms_ccv1,20260212-183537,edge_transformer,14,9.428571428571429,3,8.357689312700483
exp_edge_tf_h320_d3_relsc_ccv1,20260211-232057,edge_transformer,14,9.428571428571429,0,9.252528272959053
exp_edge_mlp_h128_d2,20260210-175745,edge_mlp,14,9.464285714285714,1,9.492948625604924
exp_edge_res_h128_d4,20260210-180915,edge_res_mlp,14,9.571428571428571,1,8.9701730891842
exp_edge_mlp_h256_d2_ccv1,20260210-191744,edge_mlp,14,9.714285714285714,0,9.647287208318078
exp_edge_tf_h256_d4_relv2_ms_ccv1,20260212-190122,edge_transformer,14,9.821428571428571,1,10.28028545959879
exp_edge_tf_h256_d5_relsc_ccv1,20260211-223953,edge_transformer,14,10.214285714285714,0,9.593674429801462
exp_edge_tf_h256_d5_relv2_ms_ccv1,20260212-193311,edge_transformer,14,10.321428571428571,2,9.001778871284529
exp_edge_mlp_h256_d3,20260210-175524,edge_mlp_deep,14,10.357142857142858,0,9.794050726694374
exp_edge_mlp_h256_d2,20260210-171914,edge_mlp,14,10.714285714285714,0,10.094564277413562
exp_edge_res_h128_d4_ccv1,20260210-191322,edge_res_mlp,14,10.75,1,10.735186631788128
exp_edge_res_h256_d4_ccv1,20260210-203342,edge_res_mlp,14,10.75,0,9.808621025301104
